Month,Actual,Predicted
2024-08,8,7.9998355
2024-08,8,7.9998355
2024-09,7,6.9998827
2024-09,4,3.9999979
2024-09,3,3.0000074
2024-09,2,2.0000343
2024-09,4,3.9999979
2024-09,5,4.9999757
2024-09,2,2.0000343
2024-09,4,3.9999979
2024-09,2,2.0000343
2024-09,1,1.0000943
2024-09,3,3.0000074
2024-09,1,1.0000943
2024-09,5,4.9999757
2024-09,6,5.9999456
2024-09,5,4.9999757
2024-09,3,3.0000074
2024-09,6,5.9999456
2024-09,10,9.99978
2024-09,2,2.0000343
2024-09,9,8.999813
2024-09,6,5.9999456
2024-09,9,8.999813
2024-09,4,3.9999979
2024-09,3,3.0000074
2024-10,3,3.0000074
2024-10,2,2.0000343
2024-10,6,5.9999456
2024-10,6,5.9999456
2024-10,5,4.9999757
2024-10,1,1.0000943
2024-10,2,2.0000343
2024-10,3,3.0000074
2024-10,1,1.0000943
2024-10,2,2.0000343
2024-10,1,1.0000943
2024-10,1,1.0000943
2024-10,1,1.0000943
2024-10,2,2.0000343
2024-10,4,3.9999979
2024-10,2,2.0000343
2024-10,5,4.9999757
2024-10,2,2.0000343
2024-10,1,1.0000943
2024-10,7,6.9998827
2024-10,6,5.9999456
2024-10,6,5.9999456
2024-10,10,9.99978
2024-10,4,3.9999979
2024-10,1,1.0000943
2024-11,4,3.9999979
2024-11,1,1.0000943
2024-11,2,2.0000343
2024-11,2,2.0000343
2024-11,1,1.0000943
2024-11,2,2.0000343
2024-11,1,1.0000943
2024-11,1,1.0000943
2024-11,1,1.0000943
2024-11,1,1.0000943
2024-11,2,2.0000343
2024-11,1,1.0000943
2024-11,2,2.0000343
2024-11,4,3.9999979
2024-11,1,1.0000943
2024-11,3,3.0000074
2024-11,4,3.9999979
2024-11,4,3.9999979
2024-11,19,18.992384
2024-11,3,3.0000074
2024-11,4,3.9999979
2024-11,2,2.0000343
2024-12,1,1.0000943
2024-12,1,1.0000943
2024-12,2,2.0000343
2024-12,2,2.0000343
2024-12,1,1.0000943
2024-12,1,1.0000943
2024-12,1,1.0000943
2024-12,2,2.0000343
2024-12,9,8.999813
2024-12,7,6.9998827
2024-12,12,11.999688
2024-12,7,6.9998827
2024-12,1,1.0000943
2024-12,1,1.0000943
2024-12,1,1.0000943
